Name,Age,Team,League,Games_Played,Plate_Appearances,At_Bats,Hits,Home_Runs,RBIs,Walks,Strike_Outs,Batting_Average,Onbase_Percentage,Slugging
Kolten Wong,32,TOT,MLB,87,250,224,41,4,27,18,53,0.183,0.256,0.263
Mike Ford,30,SEA,AL,83,251,219,50,16,34,24,81,0.228,0.323,0.475
Garrett Hampson,28,MIA,NL,98,252,221,61,3,23,23,67,0.276,0.349,0.38
Luis Matos,21,SFG,NL,76,253,228,57,2,14,20,33,0.25,0.319,0.342
Kevin Newman,29,CIN,NL,74,253,225,57,3,28,17,34,0.253,0.311,0.364
Zack Short,28,DET,AL,110,253,221,45,7,33,28,66,0.204,0.292,0.339
Santiago Espinal,28,TOR,AL,93,254,230,57,2,25,18,36,0.248,0.31,0.335
Matt Wallner,25,MIN,AL,76,254,213,53,14,41,28,80,0.249,0.37,0.507
Dylan Carlson,24,STL,NL,76,255,219,48,5,27,26,49,0.219,0.318,0.333
Henry Davis,23,PIT,NL,62,255,225,48,7,24,25,69,0.213,0.302,0.351
Stuart Fairchild,27,CIN,NL,97,255,219,50,5,28,25,69,0.228,0.321,0.388
